macrozona,var,p_ttest,q25_0,q50_0,q75_0,q25_1,q50_1,q75_1
All,act_fijo,5.359880224323389e-06,0.0,0.0,205000.0,0.0,0.0,500000.0
Centro,act_fijo,1.9105715188788337e-06,0.0,0.0,100000.0,0.0,0.0,365000.0
Sur,act_fijo,0.11108730671181018,0.0,0.0,500000.0,0.0,0.0,800000.0
All,act_var,0.038677130680251644,0.0,0.0,0.0,0.0,0.0,0.0
Centro,act_var,0.04587349039784236,0.0,0.0,0.0,0.0,0.0,0.0
Sur,act_var,0.38531155452920973,0.0,0.0,0.0,0.0,0.0,0.0
All,cap_pen_ent,7.758331665151964e-06,0.0,0.0,5000000.0,0.0,0.0,10000000.0
Centro,cap_pen_ent,6.364082074133314e-05,0.0,0.0,3000000.0,0.0,0.0,9000000.0
Sur,cap_pen_ent,0.02813045331741807,0.0,50000.0,8000000.0,0.0,0.0,12000000.0
All,edad_pr,1.6277869788002173e-28,34.0,44.0,58.0,42.0,53.0,65.0
Centro,edad_pr,7.255360565396109e-14,34.0,45.0,59.0,41.0,53.0,66.0
Sur,edad_pr,1.4673864106191034e-17,33.0,42.0,55.0,43.0,53.0,64.25
All,hr_trabajadas_pr,1.1436263661868834e-05,20.0,44.0,45.0,0.0,44.0,45.0
Centro,hr_trabajadas_pr,0.015021025247305473,10.0,44.0,45.0,0.0,44.0,45.0
Sur,hr_trabajadas_pr,2.60607578215177e-05,33.5,44.0,45.0,0.0,44.0,45.0
All,yoprinm_pr,0.021139074822787204,200000.0,460000.0,868743.1875,0.0,450000.0,1000000.0
Centro,yoprinm_pr,0.0027549869447474028,100000.0,400000.0,750001.0,0.0,400000.0,1000000.0
Sur,yoprinm_pr,0.8279005808246649,326250.0,550000.0,1000000.0,0.0,480000.0,1000000.0
All,ypenh,2.0064178149964585e-06,0.0,0.0,140000.0,0.0,0.0,200000.0
Centro,ypenh,5.147212348198344e-05,0.0,0.0,150000.0,0.0,0.0,218750.0
Sur,ypenh,0.008092457603818732,0.0,0.0,113750.0,0.0,0.0,170000.0
All,ysubh,0.5254941614423749,0.0,177000.0,356083.421875,0.0,177000.0,354000.0
Centro,ysubh,0.23291643319909716,0.0,177000.0,400000.0,0.0,177000.0,368500.0
Sur,ysubh,0.5216481608939201,0.0,177000.0,301164.5625,0.0,177000.0,342500.0
