macrozona,var,n,cero,pos,porc_cero,porc_pos,mean_pos,med_pos,p95_pos,max_pos
All,act_fijo,2313,1522,791,65.8019887591872,34.1980112408128,8610775.514538558,2000000.0,40000000.0,360300000.0
Centro,act_fijo,1383,926,457,66.95589298626174,33.04410701373825,9083283.008752735,1900000.0,43599999.99999991,180515000.0
Sur,act_fijo,930,596,334,64.08602150537635,35.913978494623656,7964260.769461078,2000000.0,32849999.999999966,360300000.0
All,act_var,2313,2043,270,88.32684824902724,11.673151750972762,25099794.514814816,5000000.0,65000000.0,1100000000.0
Centro,act_var,1383,1219,164,88.1417208966016,11.85827910339841,27662530.542682927,5000000.0,69462499.99999997,1080000000.0
Sur,act_var,930,824,106,88.6021505376344,11.397849462365592,21134806.698113207,4250000.5,51250000.0,1100000000.0
All,cap_pen_ent,2313,1331,982,57.54431474275832,42.455685257241676,21475795.19144603,11913000.0,83424999.9999999,350000000.0
Centro,cap_pen_ent,1383,819,564,59.219088937093275,40.780911062906725,20146904.210992906,10455000.0,79850000.00000003,300000000.0
Sur,cap_pen_ent,930,512,418,55.053763440860216,44.946236559139784,23268844.26555024,12000000.0,100000000.0,350000000.0
All,edad_pr,2313,0,2313,0.0,100.0,51.543450064850845,50.0,79.0,99.0
Centro,edad_pr,1383,0,1383,0.0,100.0,51.642805495300074,51.0,80.0,95.0
Sur,edad_pr,930,0,930,0.0,100.0,51.395698924731185,50.0,78.0,99.0
All,hr_trabajadas_pr,2313,589,1724,25.46476437527021,74.5352356247298,42.7737819025522,45.0,60.0,114.0
Centro,hr_trabajadas_pr,1383,369,1014,26.68112798264642,73.31887201735357,42.77810650887574,45.0,65.0,114.0
Sur,hr_trabajadas_pr,930,220,710,23.655913978494624,76.34408602150538,42.767605633802816,45.0,60.0,100.0
All,yoprinm_pr,2313,589,1724,25.46476437527021,74.5352356247298,1015853.2819795896,600000.0,3000000.0,9000000.0
Centro,yoprinm_pr,1383,369,1014,26.68112798264642,73.31887201735357,999695.4882350222,600000.0,3000000.35,9000000.0
Sur,yoprinm_pr,930,220,710,23.655913978494624,76.34408602150538,1038929.3423415493,700000.0,3000000.0,7000000.0
All,ypenh,2313,1457,856,62.99178555987894,37.00821444012106,375355.5053026431,250000.0,1070000.0,6500000.0
Centro,ypenh,1383,851,532,61.53289949385395,38.46710050614605,389486.52033159067,250000.0,1100000.0,6500000.0
Sur,ypenh,930,606,324,65.16129032258064,34.83870967741935,352152.7275390625,240000.0,1000000.0,4500000.0
All,ysubh,2313,802,1511,34.6735840899265,65.3264159100735,314117.28581612447,287000.0,577850.0,1689000.0
Centro,ysubh,1383,486,897,35.140997830802604,64.8590021691974,321749.4151128218,292000.0,600199.9999999999,1689000.0
Sur,ysubh,930,316,614,33.97849462365591,66.02150537634408,302967.41614326206,287000.0,543709.968359375,1180000.0
