Fold,Modelo,AUC,Precision,Sensibilidad,Especificidad,n_hogares_test
1,LR Ridge (splines),0.6028576347047684,0.6796536796536796,0.9171974522292994,0.17567567567567569,231
2,LR Ridge (splines),0.627732828369771,0.658008658008658,0.8535031847133758,0.24324324324324326,231
3,LR Ridge (splines),0.6658633155448442,0.670995670995671,0.89171974522293,0.20270270270270271,231
4,LR Ridge (splines),0.6501061571125265,0.7025862068965517,0.9363057324840764,0.21333333333333335,232
5,LR Ridge (splines),0.6597521087966948,0.6666666666666666,0.8662420382165605,0.24324324324324326,231
6,LR Ridge (splines),0.6660683760683761,0.6926406926406926,0.8782051282051282,0.30666666666666664,231
7,LR Ridge (splines),0.7660526768807023,0.696969696969697,0.910828025477707,0.24324324324324326,231
8,LR Ridge (splines),0.7146668961955586,0.7445887445887446,0.9235668789808917,0.36486486486486486,231
9,LR Ridge (splines),0.6893162393162393,0.696969696969697,0.9294871794871795,0.21333333333333335,231
10,LR Ridge (splines),0.7188844895851265,0.7272727272727273,0.9617834394904459,0.22972972972972974,231
1,MLP seleccionadas,0.5184196935789293,0.6017316017316018,0.7452229299363057,0.2972972972972973,231
2,MLP seleccionadas,0.5617145808228611,0.5714285714285714,0.6751592356687898,0.35135135135135137,231
3,MLP seleccionadas,0.530986400413152,0.6103896103896104,0.7515923566878981,0.3108108108108108,231
4,MLP seleccionadas,0.5490445859872611,0.5991379310344828,0.7133757961783439,0.36,232
5,MLP seleccionadas,0.6523498020313307,0.6666666666666666,0.7261146496815286,0.5405405405405406,231
6,MLP seleccionadas,0.648119658119658,0.6536796536796536,0.7371794871794872,0.48,231
7,MLP seleccionadas,0.6010500946806678,0.6320346320346321,0.7070063694267515,0.47297297297297297,231
8,MLP seleccionadas,0.5460492339473232,0.5887445887445888,0.6942675159235668,0.36486486486486486,231
9,MLP seleccionadas,0.5811111111111112,0.6493506493506493,0.7884615384615384,0.36,231
10,MLP seleccionadas,0.581769667756929,0.6320346320346321,0.7770700636942676,0.32432432432432434,231
